elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
3.66;-1.067;0.217;-0.178;20.602;71.784;16.806
3.67;-1.081;0.195;-0.123;16.28;67.698;16.197
3.68;-1.095;0.173;-0.052;13.582;63.727;16.646
3.69;-1.112;0.158;0.009;13.361;59.84;17.02
3.7;-1.11;0.144;0.042;15.274;57.096;17.256
3.71;-1.099;0.137;0.057;16.105;56.433;18.041
3.72;-1.116;0.127;0.057;18.163;55.495;19.436
3.73;-1.132;0.104;0.061;23.979;53.506;20.556
3.74;-1.137;0.089;0.073;32.576;52.005;21.555
3.75;-1.119;0.105;0.07;42.546;50.869;22.431
3.76;-1.036;0.142;0.043;50.595;52.058;22.706
3.77;-0.98;0.212;-0.001;53.628;54.97;22.256
3.78;-1.014;0.289;-0.046;52.02;55.412;20.755
3.79;-1.099;0.36;-0.073;47.424;51.898;18.537
3.8;-1.223;0.471;-0.071;39.154;42.188;16.037
3.81;-1.362;0.634;-0.042;25.023;29.604;11.54
3.82;-1.507;0.716;-0.042;6.951;15.846;0.107
3.83;-1.607;0.583;-0.062;-8.194;-2.454;-17.515
3.84;-1.646;0.353;0.005;-23.415;-30.762;-37.553
3.85;-1.579;0.116;0.147;-44.588;-54.375;-59.085
3.86;-1.352;-0.254;0.236;-64.131;-56.067;-69.032
3.87;-1.181;-0.669;0.218;-59.695;-41.242;-57.447
3.88;-1.12;-0.899;0.158;-21.044;-26.273;-43.895
3.89;-1.243;-0.905;0.134;47.462;-39.436;-33.613
3.9;-1.13;-0.673;0.206;118.544;-48.834;-21.806
3.91;-0.863;-0.437;0.122;185.015;-34.543;-9.062
3.92;-0.819;-0.121;-0.122;212.752;-19.787;8.041
3.93;-1.163;0.299;-0.342;191.12;-30.259;24.276
3.94;-1.51;0.755;-0.507;124.322;-41.677;23.697
3.95;-1.709;0.912;-0.775;54.924;-48.087;7.896
3.96;-1.779;0.677;-1.047;26.623;-69.131;-2.599
3.97;-1.625;0.491;-1.046;18.407;-96.014;-4.97
3.98;-1.325;0.494;-0.79;2.431;-109.337;-9.573
3.99;-1.143;0.489;-0.536;-21.387;-111.562;-14.512
4;-1.099;0.434;-0.46;-45.084;-111.814;-13.613
4.01;-1.122;0.445;-0.505;-63.491;-114.566;-11.319
4.02;-1.142;0.51;-0.551;-72.927;-118.041;-11.433
4.03;-1.164;0.529;-0.605;-77.264;-124.55;-12.431
4.04;-1.162;0.503;-0.63;-83.361;-131.387;-11.646
4.05;-1.127;0.503;-0.633;-92.599;-135.297;-10.709
4.06;-1.087;0.503;-0.639;-101.349;-136.448;-11.54
4.07;-1.063;0.491;-0.649;-107.774;-137.21;-14.665
4.08;-1.024;0.452;-0.664;-108.239;-138.216;-18.476
4.09;-0.956;0.416;-0.664;-109.649;-137.485;-22.127
4.1;-0.898;0.392;-0.651;-115.175;-135.465;-25.541
4.11;-0.844;0.351;-0.641;-120.084;-132.752;-28.811
4.12;-0.792;0.304;-0.61;-123.155;-128.803;-32.188
4.13;-0.756;0.261;-0.57;-125.221;-124.062;-35.724
4.14;-0.738;0.202;-0.54;-124.474;-120.008;-39.939
4.15;-0.725;0.124;-0.509;-120.511;-116.517;-43.864
4.16;-0.708;0.067;-0.474;-115.122;-112.439;-46.616
4.17;-0.693;0.028;-0.444;-107.378;-108.232;-48.354
4.18;-0.671;0.006;-0.42;-99.405;-103.331;-50.084
4.19;-0.657;-0.023;-0.398;-92.271;-97.782;-52.066
4.2;-0.648;-0.063;-0.384;-83.811;-92.454;-53.155
4.21;-0.645;-0.1;-0.366;-75.526;-87.98;-52.569
4.22;-0.654;-0.125;-0.314;-69.261;-85.015;-50.64
4.23;-0.66;-0.112;-0.264;-67.858;-80.968;-48.575
4.24;-0.654;-0.114;-0.22;-60.046;-75.488;-45.816
4.25;-0.684;-0.135;-0.202;-46.623;-72.317;-42.127
4.26;-0.742;-0.138;-0.199;-35.198;-70.473;-37.805
4.27;-0.806;-0.121;-0.181;-26.265;-70.427;-33.43
4.28;-0.899;-0.106;-0.126;-15.846;-75.648;-29.085
4.29;-0.984;-0.115;-0.034;-2.302;-82.675;-24.017
4.3;-1.038;-0.107;0.123;9.718;-90.32;-18.643
4.31;-1.037;-0.1;0.333;21.921;-96.433;-14.604
4.32;-0.942;-0.11;0.519;35.678;-90.32;-11.212
4.33;-0.823;-0.11;0.68;39.062;-72.119;-6.562
4.34;-0.81;-0.126;0.847;31.761;-54.649;0.13
